country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
USA,39.93962,-76.81271,302.16,0.41,0.37,2025-07-07,650,N20,VIIRS,n,2.0NRT,286.78,0.92,N
USA,39.93977,-76.81509,303.65,0.41,0.37,2025-07-07,650,N20,VIIRS,n,2.0NRT,285.08,0.5,N
USA,39.96251,-76.59664,304.14,0.41,0.37,2025-07-07,650,N20,VIIRS,n,2.0NRT,288.81,0.76,N
USA,39.96588,-76.59586,311.26,0.41,0.37,2025-07-07,650,N20,VIIRS,n,2.0NRT,288.57,0.88,N
USA,40.06995,-74.76859,302.05,0.38,0.36,2025-07-07,650,N20,VIIRS,n,2.0NRT,289.9,0.36,N
USA,40.24777,-74.11539,302.54,0.38,0.36,2025-07-07,650,N20,VIIRS,n,2.0NRT,290.1,0.39,N
USA,40.30418,-79.87524,307.73,0.53,0.42,2025-07-07,650,N20,VIIRS,n,2.0NRT,280.82,1.45,N
USA,40.30486,-79.88148,295.7,0.53,0.42,2025-07-07,650,N20,VIIRS,n,2.0NRT,281.39,0.47,N
USA,40.3058,-79.87395,302.53,0.53,0.42,2025-07-07,650,N20,VIIRS,n,2.0NRT,279.94,0.91,N
USA,40.30646,-79.88024,302.9,0.53,0.42,2025-07-07,650,N20,VIIRS,n,2.0NRT,284.1,0.91,N
USA,40.30952,-80.60848,312.45,0.57,0.43,2025-07-07,650,N20,VIIRS,n,2.0NRT,290.79,2.3,N
USA,40.3135,-80.60777,305.89,0.57,0.43,2025-07-07,650,N20,VIIRS,n,2.0NRT,289.48,1.17,N
USA,40.39345,-79.85117,318.61,0.53,0.42,2025-07-07,650,N20,VIIRS,n,2.0NRT,293.41,3.78,N
USA,40.39414,-79.85748,340.74,0.53,0.42,2025-07-07,650,N20,VIIRS,n,2.0NRT,295.16,7.91,N
USA,40.39796,-79.85661,321.52,0.53,0.42,2025-07-07,650,N20,VIIRS,n,2.0NRT,293.38,2.26,N
USA,40.57003,-83.13683,315.83,0.51,0.5,2025-07-07,650,N20,VIIRS,n,2.0NRT,290.69,1.21,N
USA,40.63669,-74.22166,310.48,0.38,0.36,2025-07-07,650,N20,VIIRS,n,2.0NRT,292.6,1.59,N
USA,40.75629,-81.43392,337.9,0.42,0.45,2025-07-07,650,N20,VIIRS,n,2.0NRT,292.78,2.83,N
USA,40.75676,-81.43897,307.35,0.42,0.45,2025-07-07,650,N20,VIIRS,n,2.0NRT,292.82,2.83,N
USA,40.79503,-82.52695,303.92,0.48,0.48,2025-07-07,650,N20,VIIRS,n,2.0NRT,291.24,1.36,N
USA,40.99678,-80.52274,312.07,0.39,0.44,2025-07-07,650,N20,VIIRS,n,2.0NRT,290.39,0.69,N
USA,41.20726,-80.81717,306.77,0.4,0.44,2025-07-07,650,N20,VIIRS,n,2.0NRT,293.17,0.95,N
USA,41.22721,-83.20893,318.23,0.53,0.5,2025-07-07,650,N20,VIIRS,n,2.0NRT,289.87,3.11,N
USA,41.36612,-84.92156,329.25,0.32,0.55,2025-07-07,650,N20,VIIRS,n,2.0NRT,286.09,2.01,N
USA,41.36946,-84.91979,307.14,0.33,0.55,2025-07-07,650,N20,VIIRS,n,2.0NRT,284.41,2.95,N
USA,41.36968,-84.92373,328.09,0.33,0.55,2025-07-07,650,N20,VIIRS,n,2.0NRT,284.35,2.03,N
USA,41.37144,-84.92492,307.63,0.33,0.55,2025-07-07,650,N20,VIIRS,n,2.0NRT,284.3,2.01,N
USA,41.37476,-84.92313,304.19,0.33,0.55,2025-07-07,650,N20,VIIRS,n,2.0NRT,281.09,2.03,N
USA,41.56701,-84.0457,331.3,0.59,0.53,2025-07-07,650,N20,VIIRS,n,2.0NRT,287.97,7.29,N
USA,41.75123,-81.28268,312.31,0.43,0.46,2025-07-07,650,N20,VIIRS,n,2.0NRT,292.35,1.46,N
USA,42.04974,-73.97591,310.87,0.38,0.36,2025-07-07,650,N20,VIIRS,n,2.0NRT,294.68,1.21,N
USA,42.29908,-83.15546,319.99,0.54,0.51,2025-07-07,650,N20,VIIRS,n,2.0NRT,286.04,3.6,N
USA,42.89536,-78.81968,310.42,0.51,0.41,2025-07-07,650,N20,VIIRS,n,2.0NRT,292.74,2.31,N
USA,42.92028,-76.83265,302.47,0.43,0.38,2025-07-07,650,N20,VIIRS,n,2.0NRT,285.18,0.53,N
USA,43.08138,-77.37906,308.8,0.45,0.39,2025-07-07,650,N20,VIIRS,n,2.0NRT,293.79,0.74,N
USA,43.70651,-88.39021,297.8,0.51,0.66,2025-07-07,650,N20,VIIRS,n,2.0NRT,285.76,0.99,N
USA,43.70718,-88.38914,297.75,0.51,0.66,2025-07-07,650,N20,VIIRS,n,2.0NRT,285.91,0.8,N
USA,46.72945,-92.08148,301.79,0.79,0.78,2025-07-07,650,N20,VIIRS,n,2.0NRT,282.27,2.42,N
USA,33.01457,-79.88397,326.66,0.45,0.39,2025-07-07,652,N20,VIIRS,n,2.0NRT,287.04,2.98,N
USA,33.21672,-86.79005,311.9,0.35,0.56,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.62,1.23,N
USA,33.21699,-86.79376,301.73,0.35,0.56,2025-07-07,652,N20,VIIRS,n,2.0NRT,288.55,1.09,N
USA,33.22388,-86.81589,317.3,0.35,0.56,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.69,1.39,N
USA,33.5458,-86.80502,320.95,0.35,0.57,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.28,1.47,N
USA,33.58096,-86.78237,303.68,0.35,0.57,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.75,0.79,N
USA,33.73783,-86.15382,302.83,0.32,0.55,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.82,0.69,N
USA,33.9144,-80.9338,305.61,0.5,0.41,2025-07-07,652,N20,VIIRS,n,2.0NRT,292.03,0.81,N
USA,33.96316,-81.05389,309.31,0.51,0.41,2025-07-07,652,N20,VIIRS,n,2.0NRT,293.12,1.31,N
USA,34.6383,-87.08467,332.74,0.37,0.58,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.24,2.98,N
USA,34.64099,-87.08445,331.2,0.37,0.58,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.13,2.59,N
USA,34.6415,-87.09265,312.36,0.37,0.58,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.86,2.64,N
USA,34.64424,-87.09239,305.81,0.37,0.58,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.4,0.78,N
USA,34.80395,-88.32285,309.82,0.44,0.62,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.12,2.02,N
USA,34.80421,-88.32761,308.55,0.44,0.62,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.21,1.66,N
USA,34.86073,-85.72187,304.05,0.62,0.54,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.4,2.11,N
USA,34.86126,-85.72864,313.81,0.62,0.54,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.5,2.11,N
USA,34.86195,-85.72812,321.04,0.62,0.54,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.09,2.18,N
USA,34.88624,-78.05942,302.98,0.41,0.37,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.18,0.47,N
USA,34.94521,-85.70127,303.53,0.62,0.54,2025-07-07,652,N20,VIIRS,n,2.0NRT,292.45,1.31,N
USA,35.04501,-90.16419,304.87,0.56,0.69,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.13,3.57,N
USA,35.55033,-85.29687,303.57,0.6,0.53,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.14,1.28,N
USA,35.64686,-89.93591,323.24,0.55,0.68,2025-07-07,652,N20,VIIRS,n,2.0NRT,286.98,3.17,N
USA,35.64964,-89.93581,324.83,0.55,0.68,2025-07-07,652,N20,VIIRS,n,2.0NRT,287.29,2.98,N
USA,35.93671,-86.37617,304.19,0.35,0.57,2025-07-07,652,N20,VIIRS,n,2.0NRT,288.61,0.62,N
USA,35.94441,-89.71464,301.91,0.54,0.68,2025-07-07,652,N20,VIIRS,n,2.0NRT,286.63,1.22,N
USA,35.94852,-89.71889,301.14,0.54,0.68,2025-07-07,652,N20,VIIRS,n,2.0NRT,286.14,1.11,N
USA,36.87805,-85.65882,303.46,0.32,0.55,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.44,0.54,N
USA,36.94552,-86.30469,312.01,0.35,0.57,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.42,0.75,N
USA,37.23413,-82.03757,321.22,0.41,0.45,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.53,2.59,N
USA,37.23459,-82.0423,306.9,0.41,0.45,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.25,1.18,N
USA,37.5383,-76.80527,309.79,0.4,0.37,2025-07-07,652,N20,VIIRS,n,2.0NRT,292.67,1.83,N
USA,38.0064,-86.14198,314.82,0.35,0.57,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.47,1.09,N
USA,38.00665,-86.14603,309.86,0.35,0.57,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.24,1.09,N
USA,38.58373,-85.41016,310.65,0.33,0.55,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.97,0.89,N
USA,38.58398,-85.41415,304.4,0.33,0.55,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.89,0.89,N
USA,38.59724,-82.83358,308.53,0.47,0.48,2025-07-07,652,N20,VIIRS,n,2.0NRT,292.94,1.41,N
USA,38.60069,-82.82197,306.97,0.47,0.48,2025-07-07,652,N20,VIIRS,n,2.0NRT,293.09,1.77,N
USA,38.60117,-82.82746,308.84,0.47,0.48,2025-07-07,652,N20,VIIRS,n,2.0NRT,292.72,1.77,N
USA,38.75779,-84.9938,303.19,0.62,0.54,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.12,1.31,N
USA,38.76328,-85.00092,310.89,0.62,0.54,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.87,2.72,N
USA,38.83534,-84.24215,323.84,0.57,0.52,2025-07-07,652,N20,VIIRS,n,2.0NRT,292.2,3.08,N
USA,39.00044,-87.72542,303.06,0.44,0.62,2025-07-07,652,N20,VIIRS,n,2.0NRT,282.99,1.5,N
USA,39.33393,-81.3658,312.21,0.4,0.45,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.17,1.23,N
USA,39.47221,-84.3864,306.02,0.58,0.52,2025-07-07,652,N20,VIIRS,n,2.0NRT,289.72,1.4,N
USA,39.47317,-84.40008,308.55,0.59,0.52,2025-07-07,652,N20,VIIRS,n,2.0NRT,291,1.92,N
USA,39.4814,-84.37833,312.96,0.58,0.52,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.06,1.85,N
USA,39.48672,-84.38456,308.01,0.58,0.52,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.26,1.85,N
USA,39.49009,-84.36342,305.27,0.58,0.52,2025-07-07,652,N20,VIIRS,n,2.0NRT,290.52,1.01,N
USA,39.52758,-86.38007,300.7,0.37,0.58,2025-07-07,652,N20,VIIRS,n,2.0NRT,285.19,0.81,N
USA,39.73225,-82.14857,305.06,0.45,0.47,2025-07-07,652,N20,VIIRS,n,2.0NRT,291.91,0.77,N
USA,40.16814,-88.77523,299.74,0.51,0.66,2025-07-07,652,N20,VIIRS,n,2.0NRT,288.25,2.66,N
USA,26.2792,-80.15223,313.4,0.4,0.37,2025-07-07,654,N20,VIIRS,n,2.0NRT,293.56,0.93,N
USA,26.27978,-80.15624,312.45,0.4,0.37,2025-07-07,654,N20,VIIRS,n,2.0NRT,293.06,0.93,N
USA,27.65478,-81.52164,296.65,0.46,0.39,2025-07-07,654,N20,VIIRS,n,2.0NRT,270.54,0.67,N
USA,29.11078,-82.07606,330.14,0.5,0.41,2025-07-07,654,N20,VIIRS,n,2.0NRT,290.82,3.65,N
USA,29.99805,-90.39896,309.58,0.53,0.67,2025-07-07,654,N20,VIIRS,n,2.0NRT,292.09,3.44,N
